@relation direction

@attribute redpixelinfirsthalf  real
@attribute redpixelinsecondhalf real
@attribute class	{RT,LT,TJ,CJ,ST}

@data
0.0000,0.0000,?
0.0000,0.0000,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0.0000,0.0000,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0.0000,0.0000,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0.0000,0.0000,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
0,0,?
