@relation direction

@attribute redpixelinfirstblock numeric
@attribute redpixelinsecondblock numeric
@attribute redpixelinthirdblock numeric
@attribute redpixelinfourthblock numeric
@attribute redpixelinfifthblock numeric
@attribute redpixelinsixthblock numeric
@attribute redpixelinseventhblock numeric
@attribute redpixelineightblock numeric
@attribute redpixelinninthblock numeric
@attribute redpixelintenthblock numeric
@attribute redpixelineleventhblock numeric
@attribute redpixelintwelvethblock numeric
@attribute redpixelinthirteenthblock numeric
@attribute redpixelinfourteenthblock numeric
@attribute redpixelinfifteenthblock numeric
@attribute redpixelinsixteenthblock numeric
@attribute class	{RT,LT,TJ,CJ,ST}

@data
0,0,0,0,5,12,15,15,5,12,19,19,5,12,26,26,LT
12,19,21,22,12,19,21,22,12,21,23,24,12,23,27,28,LT
8,8,8,8,13,40,44,44,14,41,53,53,14,41,62,62,LT
7,28,28,30,7,31,32,34,7,40,61,68,16,53,78,85,CJ
0,0,0,11,0,9,16,30,3,25,32,46,3,30,37,55,RT
0,0,1,1,0,2,6,6,0,6,14,23,0,15,23,35,RT
0,0,6,6,6,9,20,20,6,9,27,27,6,9,33,33,TJ
0,1,10,13,5,11,22,29,5,19,38,45,5,20,50,57,RT
5,9,9,15,5,15,15,24,7,28,28,42,7,37,37,51,CJ
0,0,0,0,0,0,5,10,15,27,42,50,15,27,42,59,TJ
1,9,13,26,10,22,26,39,11,29,46,60,11,29,56,71,LT
0,0,11,11,1,1,16,81,1,1,16,113,1,1,16,119,ST
0,0,0,0,0,5,5,7,0,10,10,12,0,17,17,19,RT
0,0,0,0,2,2,2,24,6,6,9,32,10,10,19,48,RT
0,14,16,16,0,19,27,37,0,19,42,52,0,19,44,56,TJ
0,0,6,6,0,4,11,11,7,27,34,34,7,39,46,46,TJ
0,0,0,0,0,0,6,6,0,0,13,13,0,0,13,13,ST
9,9,17,22,9,9,29,34,9,9,35,40,9,9,43,48,TJ
0,0,0,6,0,0,0,19,2,19,23,46,3,22,34,57,ST
3,17,24,28,3,17,32,36,3,17,35,39,3,17,47,51,ST
0,2,3,13,16,54,70,87,16,54,88,105,22,62,105,122,TJ
0,0,8,13,2,11,23,38,2,11,23,42,3,12,24,50,TJ
0,6,6,42,7,15,15,53,9,17,17,58,13,21,21,143,ST
3,3,3,10,6,6,6,28,10,10,10,42,14,14,14,48,RT
0,0,8,19,0,11,19,31,0,17,28,40,0,17,36,48,RT
0,0,0,1,0,7,9,23,0,14,16,30,0,26,43,64,RT
2,4,8,8,2,4,14,14,2,4,19,19,2,4,21,21,ST
8,19,19,21,8,24,24,26,8,33,40,49,8,39,46,55,TJ
0,0,0,1,0,6,13,20,7,13,20,27,10,16,23,30,RT
4,4,4,4,4,4,5,5,4,4,9,9,4,4,17,17,RT
0,0,0,0,0,1,11,11,0,1,14,14,0,1,25,25,TJ
0,0,6,14,0,12,20,28,0,18,26,34,0,23,32,40,RT
0,13,19,20,4,18,24,27,11,25,48,60,11,25,55,67,RT
0,0,0,2,0,1,15,17,0,1,23,25,0,1,30,32,LT
0,0,0,0,0,1,17,28,0,1,30,41,0,1,44,59,RT
0,3,32,34,0,8,37,39,0,16,45,47,0,21,50,52,RT
0,0,0,0,0,3,6,12,0,12,15,21,0,20,23,29,RT
0,0,0,0,0,0,14,25,0,17,33,44,0,18,42,53,RT
5,7,14,15,5,7,25,26,5,7,32,33,5,8,43,45,LT
6,12,17,19,7,13,18,23,10,16,21,30,11,17,22,44,LT
0,0,2,2,0,0,16,16,0,0,26,26,0,0,31,31,ST
0,0,13,21,0,0,21,29,0,4,27,35,0,12,35,43,ST
6,9,9,13,6,19,35,47,6,19,35,70,6,19,41,76,CJ
2,8,13,13,13,27,42,42,18,32,51,51,18,32,63,63,TJ
0,0,0,0,0,0,0,0,3,8,12,18,12,17,21,27,RT
1,2,2,5,49,52,57,60,49,52,59,62,49,52,59,69,LT
0,2,15,17,17,33,62,64,17,45,77,93,18,57,89,105,CJ
0,0,0,0,0,1,1,1,14,24,29,29,14,24,33,33,LT
1,1,6,13,1,1,11,18,5,10,27,42,5,10,32,47,CJ
0,7,7,8,8,28,31,40,12,32,35,44,19,39,42,51,CJ
0,0,11,11,2,6,32,39,2,6,32,45,2,6,32,54,CJ
0,0,0,12,0,0,7,30,0,3,16,39,0,14,27,50,TJ
3,8,14,18,3,8,14,18,3,8,14,18,17,30,49,53,LT
0,0,11,11,0,0,12,12,0,0,22,22,0,0,31,31,ST
0,1,8,8,0,1,18,18,6,10,35,35,6,10,36,36,TJ
3,9,10,14,3,9,16,20,7,13,24,29,7,13,32,37,CJ
0,0,0,2,0,0,13,24,0,0,15,26,2,4,25,38,RT
0,0,1,1,0,3,9,25,0,11,17,33,0,17,23,39,RT
0,5,5,5,0,10,12,12,0,16,18,18,0,26,28,28,TJ
2,4,4,5,2,5,5,8,2,10,10,16,2,18,18,26,LT
0,7,7,7,3,16,22,22,3,19,32,32,3,30,43,43,LT
0,0,0,0,0,0,0,11,13,50,56,67,57,137,147,161,RT
2,9,9,10,2,16,21,25,2,24,30,34,2,30,36,40,TJ
3,3,3,3,9,9,17,22,9,9,22,27,9,9,25,36,RT
7,8,8,8,7,15,15,15,7,17,18,18,7,17,21,21,ST
4,18,22,23,8,28,32,38,8,28,32,47,8,28,32,50,LT
0,0,0,0,0,3,3,4,0,14,14,17,0,24,24,29,LT
0,16,19,19,0,16,32,40,0,16,47,55,0,16,52,60,TJ
3,3,3,8,7,7,9,14,7,9,17,32,7,9,17,32,RT
13,13,25,25,13,13,36,39,13,13,39,42,13,13,43,46,TJ
0,0,0,0,0,0,6,8,0,0,9,11,0,0,15,17,RT
0,0,3,13,0,7,12,22,0,8,21,31,0,8,33,43,RT
0,0,0,0,0,0,10,12,0,6,18,24,0,12,24,30,RT
